kabyle,berbere,francais
azul,ⴰⵣⵓⵍ,bonjour
tanemmirt,ⵜⴰⵏⴻⵎⵎⵉⵔⵜ,merci
amenzu,ⴰⵎⴻⵏⵣⵓ,ami
taddart,ⵜⴰⴷⴷⴰⵔⵜ,maison
tifawin,ⵜⵉⴼⴰⵡⵉⵏ,lumière
tamurt,ⵜⴰⵎⵓⵔⵜ,pays
tamdint,ⵜⴰⵎⴷⵉⵏⵜ,ville
tamezwarut,ⵜⴰⵎⴻⵣⵡⴰⵔⵓⵜ,amitié
afer,ⴰⴼⴻⵔ,jour
ilas,ⵉⵍⴰⵙ,oiseau
aman,ⴰⵎⴰⵏ,eau
ar,ⴰⵔ,vers
azemmur,ⴰⵣⴻⵎⵎⵓⵔ,ciel
taddun,ⵜⴰⴷⴷⵓⵏ,nuit
asirem,ⴰⵙⵉⵔⴻⵎ,vie
afus,ⴰⴼⵓⵙ,main
tazwart,ⵜⴰⵣⵡⴰⵔⵜ,image
amenzu n waman,ⴰⵎⴻⵏⵣⵓ ⵏ ⵡⴰⵎⴰⵏ,ami de l'eau
tajmaɛt,ⵜⴰⵊⵎⴰɛⵜ,famille
taɣect,ⵜⴰⵖⴻⵙⵜ,voix
tizi,ⵜⵉⵣⵉ,colline
agadir,ⴰⴳⴰⴷⵉⵔ,grenier
imensi,ⵉⵎⵏⵙⵉ,montagnes
asif,ⴰⵙⵉⴼ,rivière
tamdint n yidles,ⵜⴰⵎⴷⵉⵏⵜ ⵏ ⵢⵉⴷⵍⴻⵙ,ville des fleurs
tafrara,ⵜⴰⴼⵔⴰⵔⴰ,lumière du soleil
amenzu n tafsut,ⴰⵎⴻⵏⵣⵓ ⵏ ⵜⴰⴼⵙⵓⵜ,ami du printemps
tifawt,ⵜⵉⴼⴰⵡⵜ,jour
akli,ⴰⴽⵍⵉ,nourriture
tamsaḥt,ⵜⴰⵎⵙⴰⵃⵜ,paysage
aghrum,ⴰⴳⵔⵓⵎ,pain
azug,ⴰⵣⵓⴳ,chemin
tineɣri,ⵜⵉⵏⴻⵖⵔⵉ,étoile
tafrt,ⵜⴰⴼⵔⵜ,porte
aɣyul,ⴰⵖⵢⵓⵍ,arbre
tadukli,ⵜⴰⴷⵓⴽⵍⵉ,clé
tadawt,ⵜⴰⴷⴰⵡⵜ,chanson
agraw,ⴰⴳⵔⴰⵡ,céréale
asirem n ifassen,ⴰⵙⵉⵔⴻⵎ ⵏ ⵉⴼⴰⵙⵙⴻⵏ,vie des mains
taddart n waman,ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵡⴰⵎⴰⵏ,maison sur l’eau
tafukt,ⵜⴰⴼⵓⴽⵜ,soleil
tifrat,ⵜⵉⴼⵔⴰⵜ,lune
aɣilas,ⴰⵖⵉⵍⴰⵙ,oiseau
tamurt n waman,ⵜⴰⵎⵓⵔⵜ ⵏ ⵡⴰⵎⴰⵏ,pays de l’eau
